Attack,Fraction,Estimators,Accuracy,TP,TN,FP,FN,ROC AUC,Precision,Recall,F1-Score
ARP MitM,0.25,30,0.999984027345185,86025,101793,1,2,0.999999999771612,0.9999840273879008,0.999984027345185,0.9999840273379949
ARP MitM,0.25,50,0.999984027345185,86025,101793,1,2,0.9999999997145153,0.9999840273879008,0.999984027345185,0.9999840273379949
ARP MitM,0.25,100,0.999984027345185,86025,101793,1,2,0.9999999996574184,0.9999840273879008,0.999984027345185,0.9999840273379949
ARP MitM,0.5,30,0.9999946757675546,172391,203248,0,2,0.9999999996004398,0.9999946758199456,0.9999946757675546,0.9999946757652102
ARP MitM,0.5,50,0.9999946757675546,172391,203248,0,2,0.9999999996004398,0.9999946758199456,0.9999946757675546,0.9999946757652102
ARP MitM,0.5,100,0.9999946757675546,172391,203248,0,2,0.9999999995148198,0.9999946758199456,0.9999946757675546,0.9999946757652102
ARP MitM,0.75,30,0.999992901004508,257890,305566,2,2,0.9999999991244048,0.999992901004508,0.999992901004508,0.999992901004508
ARP MitM,0.75,50,0.9999911262556348,257890,305565,3,2,0.9999999993591658,0.9999911262646638,0.9999911262556348,0.999991126256977
ARP MitM,0.75,100,0.9999911262556348,257890,305565,3,2,0.9999999996193064,0.9999911262646638,0.9999911262556348,0.999991126256977
ARP MitM,1.0,30,0.9999960068203508,344156,407122,1,2,0.999999999471861,0.999996006823022,0.9999960068203508,0.9999960068199022
ARP MitM,1.0,50,0.9999960068203508,344156,407122,1,2,0.9999999998180062,0.999996006823022,0.9999960068203508,0.9999960068199022
ARP MitM,1.0,100,0.9999960068203508,344156,407122,1,2,0.9999999998608282,0.999996006823022,0.9999960068203508,0.9999960068199022
Active Wiretap,0.1,30,0.9999707435526104,27805,40554,1,1,0.9999999986698264,0.9999707435526104,0.9999707435526104,0.9999707435526104
Active Wiretap,0.1,50,0.9999707435526104,27805,40554,1,1,0.9999999991132176,0.9999707435526104,0.9999707435526104,0.9999707435526104
Active Wiretap,0.1,100,0.9999707435526104,27805,40554,1,1,0.9999999991132176,0.9999707435526104,0.9999707435526104,0.9999707435526104
Active Wiretap,0.25,30,0.9999707434670162,69218,101679,1,4,0.9999999953825344,0.9999707439039516,0.9999707434670162,0.9999707433658188
Active Wiretap,0.25,50,0.9999707434670162,69218,101679,1,4,0.9999999963770654,0.9999707439039516,0.9999707434670162,0.9999707433658188
Active Wiretap,0.25,100,0.9999765947736128,69218,101680,0,4,0.9999999979399,0.9999765956943172,0.9999765947736128,0.9999765946656654
Active Wiretap,0.5,30,0.9999941486934032,138689,203113,0,2,1.0,0.999994148751019,0.9999941486934032,0.9999941486867124
Active Wiretap,0.5,50,1.0,138691,203113,0,0,1.0,1.0,1.0,1.0
Active Wiretap,0.5,100,0.9999970743467016,138690,203113,0,1,1.0,0.9999970743611056,0.9999970743467016,0.9999970743450288
Active Wiretap,0.75,30,0.999992198257871,208245,304457,1,3,0.9999999996056956,0.9999921982775762,0.999992198257871,0.9999921982519516
Active Wiretap,0.75,50,0.999992198257871,208245,304457,1,3,0.9999999995504928,0.9999921982775762,0.999992198257871,0.9999921982519516
Active Wiretap,0.75,100,0.999992198257871,208245,304457,1,3,0.9999999996845564,0.9999921982775762,0.999992198257871,0.9999921982519516
Active Wiretap,1.0,30,0.9999897601984766,277091,406509,1,6,0.9999999979181964,0.9999897602800344,0.9999897601984766,0.9999897601837704
Active Wiretap,1.0,50,0.9999897601984766,277091,406509,1,6,0.999999996684206,0.9999897602800344,0.9999897601984766,0.9999897601837704
Active Wiretap,1.0,100,0.9999897601984766,277091,406509,1,6,0.9999999948332204,0.9999897602800344,0.9999897601984766,0.9999897601837704
