Feature,Importance,model
feature_98,0.0003994201660058,Video Injection_feature_importance_0.1_100
feature_96,0.0003809305940264,Video Injection_feature_importance_0.1_100
feature_24,0.0003737636583454,Video Injection_feature_importance_0.1_100
feature_37,0.000373569771871,Video Injection_feature_importance_0.1_100
feature_34,0.0003701045693327,Video Injection_feature_importance_0.1_100
feature_97,0.0003487585379124,Video Injection_feature_importance_0.1_100
feature_40,0.0003392655811634,Video Injection_feature_importance_0.1_100
feature_48,0.0003234576295931,Video Injection_feature_importance_0.1_100
feature_36,0.0002997705094114,Video Injection_feature_importance_0.1_100
feature_8,0.0002994678732897,Video Injection_feature_importance_0.1_100
feature_82,0.0002775406112653,Video Injection_feature_importance_0.1_100
feature_89,0.0002676373508351,Video Injection_feature_importance_0.1_100
feature_49,0.000262477796605,Video Injection_feature_importance_0.1_100
feature_51,0.0002608668278482,Video Injection_feature_importance_0.1_100
feature_70,0.0002599503595701,Video Injection_feature_importance_0.1_100
feature_9,0.0002487259872773,Video Injection_feature_importance_0.1_100
feature_91,0.0002419940831889,Video Injection_feature_importance_0.1_100
feature_47,0.0001963365123685,Video Injection_feature_importance_0.1_100
feature_99,0.0001685921472846,Video Injection_feature_importance_0.1_100
feature_2,0.0001573685803252,Video Injection_feature_importance_0.1_100
feature_46,0.0001505351161406,Video Injection_feature_importance_0.1_100
feature_6,0.0001384205795385,Video Injection_feature_importance_0.1_100
feature_90,0.0001365614185383,Video Injection_feature_importance_0.1_100
feature_85,0.0001207276683947,Video Injection_feature_importance_0.1_100
feature_3,0.0001160283582079,Video Injection_feature_importance_0.1_100
feature_17,0.0001142405842174,Video Injection_feature_importance_0.1_100
feature_23,0.0001128350929358,Video Injection_feature_importance_0.1_100
feature_92,0.0001097515585607,Video Injection_feature_importance_0.1_100
feature_18,0.0001045679824927,Video Injection_feature_importance_0.1_100
feature_41,0.0001033581419659,Video Injection_feature_importance_0.1_100
feature_5,0.0001008473653437,Video Injection_feature_importance_0.1_100
feature_42,9.752362055390428e-05,Video Injection_feature_importance_0.1_100
feature_21,9.462967605067974e-05,Video Injection_feature_importance_0.1_100
feature_83,9.103589472369736e-05,Video Injection_feature_importance_0.1_100
feature_43,8.849751362161805e-05,Video Injection_feature_importance_0.1_100
feature_32,7.808580372633698e-05,Video Injection_feature_importance_0.1_100
feature_20,7.396054840046458e-05,Video Injection_feature_importance_0.1_100
feature_33,6.724123213073365e-05,Video Injection_feature_importance_0.1_100
feature_74,6.197934386633972e-05,Video Injection_feature_importance_0.1_100
feature_67,4.367361937516047e-05,Video Injection_feature_importance_0.1_100
feature_35,4.059753564448155e-05,Video Injection_feature_importance_0.1_100
feature_39,3.571665696889442e-05,Video Injection_feature_importance_0.1_100
feature_108,0.0,Video Injection_feature_importance_0.1_100
feature_107,0.0,Video Injection_feature_importance_0.1_100
feature_86,0.0,Video Injection_feature_importance_0.1_100
feature_101,0.0,Video Injection_feature_importance_0.1_100
feature_100,0.0,Video Injection_feature_importance_0.1_100
feature_94,0.0,Video Injection_feature_importance_0.1_100
feature_93,0.0,Video Injection_feature_importance_0.1_100
feature_87,0.0,Video Injection_feature_importance_0.1_100
feature_68,0.0,Video Injection_feature_importance_0.1_100
feature_71,0.0,Video Injection_feature_importance_0.1_100
feature_114,0.0,Video Injection_feature_importance_0.1_100
feature_115,0.0,Video Injection_feature_importance_0.1_100
feature_102,0.0865509504187463,Video Injection_feature_importance_0.25_30
feature_10,0.0768300819601133,Video Injection_feature_importance_0.25_30
feature_13,0.0683354173488746,Video Injection_feature_importance_0.25_30
feature_80,0.0595437485801615,Video Injection_feature_importance_0.25_30
feature_28,0.0434007031795595,Video Injection_feature_importance_0.25_30
feature_111,0.042075049302413,Video Injection_feature_importance_0.25_30
feature_78,0.0403902344522936,Video Injection_feature_importance_0.25_30
feature_52,0.0340325947800762,Video Injection_feature_importance_0.25_30
feature_29,0.0327489402172007,Video Injection_feature_importance_0.25_30
feature_14,0.0322617999708654,Video Injection_feature_importance_0.25_30
feature_61,0.0276791120595191,Video Injection_feature_importance_0.25_30
feature_75,0.0274012052567824,Video Injection_feature_importance_0.25_30
feature_63,0.0256826134153576,Video Injection_feature_importance_0.25_30
feature_65,0.0252423595459513,Video Injection_feature_importance_0.25_30
feature_79,0.0242112975062376,Video Injection_feature_importance_0.25_30
feature_60,0.0236134209573907,Video Injection_feature_importance_0.25_30
feature_64,0.021142912301336,Video Injection_feature_importance_0.25_30
feature_110,0.0201926906722059,Video Injection_feature_importance_0.25_30
feature_109,0.0185666751067273,Video Injection_feature_importance_0.25_30
feature_72,0.0183473522126731,Video Injection_feature_importance_0.25_30
feature_112,0.0182851497367948,Video Injection_feature_importance_0.25_30
feature_62,0.0182411774242171,Video Injection_feature_importance_0.25_30
feature_7,0.0166526572499277,Video Injection_feature_importance_0.25_30
feature_30,0.0158087501592344,Video Injection_feature_importance_0.25_30
feature_104,0.0137414523528013,Video Injection_feature_importance_0.25_30
feature_76,0.0124322755392935,Video Injection_feature_importance_0.25_30
feature_25,0.0118883623412362,Video Injection_feature_importance_0.25_30
feature_38,0.0099708847979664,Video Injection_feature_importance_0.25_30
feature_19,0.0093416237856577,Video Injection_feature_importance_0.25_30
feature_106,0.009240998005834,Video Injection_feature_importance_0.25_30
feature_15,0.0081165694525348,Video Injection_feature_importance_0.25_30
feature_69,0.0080255793130902,Video Injection_feature_importance_0.25_30
feature_4,0.007759836178555,Video Injection_feature_importance_0.25_30
feature_59,0.0069630877245076,Video Injection_feature_importance_0.25_30
feature_95,0.0068910371656045,Video Injection_feature_importance_0.25_30
feature_55,0.0068455752146724,Video Injection_feature_importance_0.25_30
feature_45,0.0063199033507985,Video Injection_feature_importance_0.25_30
feature_77,0.0062482389640432,Video Injection_feature_importance_0.25_30
feature_12,0.0060825689965124,Video Injection_feature_importance_0.25_30
feature_88,0.0053853574001567,Video Injection_feature_importance_0.25_30
feature_54,0.0039555094174189,Video Injection_feature_importance_0.25_30
feature_22,0.0039540638705874,Video Injection_feature_importance_0.25_30
